Ticker,Date/Time,Open,High,Low,Close
VTH,11/28/2014,16.84,18.51,10.97,11.83
VTH,12/31/2014,11.47,14.31,10.67,11.54
VTH,1/30/2015,11.54,12.63,10.96,12.27
VTH,2/27/2015,11.62,11.84,10.53,11.40
VTH,3/31/2015,11.40,13.07,11.40,12.27
VTH,4/27/2015,12.34,13.74,11.78,12.43
VTH,5/29/2015,12.43,12.43,11.78,12.19
VTH,6/30/2015,12.19,13.01,10.80,12.68
VTH,7/31/2015,12.68,12.68,11.05,11.70
VTH,8/31/2015,11.70,12.03,11.29,11.61
VTH,9/30/2015,11.36,11.86,11.29,11.70
VTH,10/30/2015,11.70,13.82,11.61,13.01
VTH,11/30/2015,13.01,13.74,12.35,13.01
VTH,12/31/2015,12.85,14.64,12.76,13.58
VTH,1/29/2016,13.50,13.66,12.51,12.92
VTH,2/29/2016,12.92,13.75,12.76,13.41
VTH,3/31/2016,13.33,15.70,13.09,15.05
VTH,4/29/2016,14.56,15.29,13.58,14.31
VTH,5/31/2016,14.31,16.19,13.35,13.81
VTH,6/30/2016,13.81,14.18,13.36,14.00
VTH,7/29/2016,14.00,14.82,13.08,13.35
VTH,8/31/2016,13.35,13.35,11.79,11.97
VTH,9/30/2016,11.97,12.06,10.68,10.77
VTH,10/31/2016,10.86,10.96,9.12,9.21
VTH,11/30/2016,9.21,9.21,7.55,9.12
VTH,12/30/2016,9.03,9.95,8.75,9.95
VTH,1/25/2017,9.95,10.87,9.03,9.58
VTH,2/28/2017,9.58,10.59,8.84,9.02
VTH,3/31/2017,9.57,10.87,9.02,10.22
VTH,4/28/2017,10.77,11.78,9.94,10.96
VTH,5/31/2017,10.78,12.60,10.13,12.30
VTH,6/30/2017,12.30,13.17,11.34,11.44
VTH,7/31/2017,11.44,12.31,10.38,11.63
VTH,8/31/2017,11.05,12.02,9.61,11.44
VTH,9/29/2017,11.44,11.83,9.80,10.77
VTH,10/31/2017,10.58,10.58,10.57,10.57
VTH,11/30/2017,10.57,11.54,9.80,10.09
VTH,12/29/2017,11.05,15.29,10.19,13.94
VTH,1/31/2018,13.46,16.35,13.46,15.28
VTH,2/28/2018,14.42,14.42,11.44,13.75
VTH,3/30/2018,13.75,14.90,12.40,12.50
VTH,4/27/2018,12.50,13.75,12.49,12.50
VTH,5/31/2018,12.50,12.50,11.00,11.00
VTH,6/29/2018,11.00,11.90,10.10,10.20
VTH,8/31/2018,11.20,11.30,11.20,11.20
VTH,9/28/2018,11.20,12.30,10.00,10.00
VTH,10/31/2018,10.00,10.20,9.20,10.20
VTH,11/30/2018,10.00,10.30,9.30,10.30
VTH,12/21/2018,10.30,10.30,9.60,10.00
VTC,1/31/2013,2.47,2.66,2.38,2.66
VTC,2/28/2013,2.66,2.75,2.29,2.29
VTC,3/29/2013,2.29,2.47,2.02,2.29
VTC,4/26/2013,2.20,2.29,1.65,2.01
VTC,5/31/2013,2.01,2.38,2.01,2.20
VTC,6/28/2013,2.20,3.21,2.20,2.66
VTC,7/31/2013,2.48,2.75,2.29,2.29
VTC,8/30/2013,2.47,2.84,1.74,1.74
VTC,9/30/2013,1.83,2.66,1.83,2.38
VTC,10/31/2013,2.20,2.20,1.83,1.83
VTC,11/29/2013,1.83,2.84,1.83,2.84
VTC,12/31/2013,2.66,2.93,2.20,2.56
VTC,1/27/2014,2.47,3.20,2.38,3.02
VTC,2/28/2014,2.84,3.75,2.48,3.39
VTC,3/31/2014,3.39,5.22,3.21,5.04
VTC,4/29/2014,5.04,5.04,4.12,4.76
VTC,5/30/2014,4.76,5.13,3.85,4.21
VTC,6/30/2014,3.94,4.58,3.85,4.49
VTC,7/31/2014,4.49,5.04,4.12,5.04
VTC,8/29/2014,4.58,5.59,3.94,4.12
VTC,9/30/2014,4.21,4.85,3.94,4.58
VTC,10/31/2014,4.58,4.76,3.94,4.21
VTC,11/28/2014,4.58,5.77,4.49,5.22
VTC,12/31/2014,4.76,5.31,4.12,4.58
VTC,1/30/2015,4.58,4.67,4.21,4.40
VTC,2/27/2015,4.58,4.95,4.40,4.40
VTC,3/31/2015,4.40,5.22,4.21,5.22
VTC,4/27/2015,5.22,6.23,4.76,6.14
VTC,5/29/2015,5.77,5.86,4.03,4.58
VTC,6/30/2015,4.58,7.78,4.58,5.77
VTC,7/31/2015,5.22,5.49,4.58,5.49
VTC,8/31/2015,5.49,6.41,5.49,5.77
VTC,9/30/2015,5.77,5.77,4.94,5.68
VTC,10/30/2015,5.68,5.77,3.84,5.04
VTC,11/30/2015,5.04,6.59,5.04,5.77
VTC,12/31/2015,5.77,6.23,5.13,5.13
VTC,1/29/2016,5.13,5.59,5.04,5.04
VTC,2/29/2016,5.04,7.42,5.04,7.42
VTC,3/31/2016,7.51,7.79,7.23,7.23
VTC,4/29/2016,7.23,8.52,5.49,8.52
VTC,5/31/2016,8.52,10.08,6.69,6.78
VTC,6/30/2016,6.78,9.06,6.50,7.14
VTC,7/29/2016,7.14,9.89,7.14,8.70
VTC,8/31/2016,9.52,10.44,7.14,7.69
VTC,9/30/2016,7.42,9.16,7.42,8.15
VTC,10/31/2016,8.15,8.25,5.86,8.24
VTC,11/30/2016,8.24,11.82,8.15,9.80
VTC,12/30/2016,9.80,10.62,8.24,10.07
VTC,1/25/2017,10.07,10.07,8.25,9.71
VTC,2/28/2017,9.71,9.98,8.24,9.62
VTC,3/31/2017,10.08,10.50,8.25,9.20
VTC,4/28/2017,9.30,10.00,8.10,9.70
VTC,5/31/2017,9.70,9.90,8.50,9.20
VTC,6/30/2017,8.30,9.70,8.20,9.00
VTC,7/31/2017,9.00,11.50,8.80,10.00
VTC,8/31/2017,10.00,11.00,9.00,10.00
VTC,9/29/2017,10.20,10.50,8.10,9.60
VTC,10/31/2017,9.60,10.30,9.00,9.50
VTC,11/30/2017,8.70,9.90,8.10,8.50
VTC,12/29/2017,8.60,9.80,7.70,9.00
VTC,1/31/2018,9.50,13.00,8.20,11.30
VTC,2/28/2018,11.30,13.20,11.20,12.50
VTC,3/30/2018,12.50,12.50,8.80,10.40
VTC,4/27/2018,10.40,11.00,9.00,9.40
VTC,5/31/2018,9.40,10.50,8.70,10.50
VTC,6/29/2018,11.00,12.50,9.90,11.20
